sample,isi,spike_num,amp,NAME,DESC,SIZE,COLOR,PIC
3.79E+05,0.25193,1,-1969.5,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
3.79E+05,0.010867,2,-1430.3,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
3.79E+05,0.0045333,3,-754.35,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
3.79E+05,0.0057667,4,-181.37,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
3.80E+05,0.010533,5,-131.06,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike_test.png
3.87E+05,0.23583,-1,-1840.1,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.91E+05,0.14577,-1,-1856.9,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
3.94E+05,0.096833,1,-1931.7,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
3.94E+05,0.0081667,2,-1627.5,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
3.94E+05,0.0078333,3,-1309,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
3.95E+05,0.0059333,4,-422.48,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
3.99E+05,0.13113,-1,-1652.7,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.08E+05,0.29767,-1,-1835.6,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.08E+05,0.0319,1,-1754.1,NaN,NaN,200,0.1,http://web.media.mit.edu/~bdallen/spike_test.png
4.09E+05,0.0050667,2,-1360.1,NaN,NaN,200,0.25,http://web.media.mit.edu/~bdallen/spike_test.png
4.09E+05,0.0063667,3,-916.05,NaN,NaN,200,0.45,http://web.media.mit.edu/~bdallen/spike_test.png
4.09E+05,0.010067,4,-329.02,NaN,NaN,200,0.65,http://web.media.mit.edu/~bdallen/spike_test.png
4.10E+05,0.019033,5,-774.21,NaN,NaN,200,0.85,http://web.media.mit.edu/~bdallen/spike_test.png
4.20E+05,0.3354,-1,-1993.3,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.22E+05,0.088567,-1,-1818.2,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
4.23E+05,0.032333,-1,-1283.4,NaN,NaN,200,0,http://web.media.mit.edu/~bdallen/spike_test.png
